,Season,Name,Team,G,PA,BB%,O-Swing%,O-Contact%,Z-Swing%,Z-Contact%,Zone%,F-Strike%,SwStr%,CSW%,Fair/Foul ratio,Pitches,Swing%,Contact%,GB,FB,LD
466,2015,Curtis Granderson,NYM,157,682,0.133,0.199,0.654,0.608,0.885,0.433,0.531,0.069,0.282,0.894409938,2981,0.376,0.816,133,182,117
467,2011,Rickie Weeks Jr.,MIL,118,515,0.097,0.236,0.518,0.651,0.835,0.468,0.584,0.11,0.298,1.233215548,1979,0.43,0.743,168,123,58
468,2014,Seth Smith,SDP,136,521,0.132,0.249,0.673,0.619,0.892,0.403,0.511,0.075,0.272,1.107692308,2124,0.398,0.81,170,114,76
469,2013,Hunter Pence,SFG,162,687,0.076,0.318,0.653,0.648,0.843,0.424,0.606,0.106,0.276,1.315521628,2590,0.458,0.767,243,185,89
470,2012,Wilin Rosario,COL,117,426,0.059,0.376,0.608,0.669,0.784,0.423,0.566,0.145,0.297,1.308695652,1501,0.5,0.708,139,110,52
471,2014,Adam LaRoche,WSN,140,586,0.14,0.247,0.659,0.64,0.891,0.4,0.541,0.077,0.26,1.042440318,2365,0.404,0.806,144,162,87
472,2016,Ian Kinsler,DET,153,679,0.066,0.273,0.695,0.641,0.926,0.477,0.614,0.066,0.258,1.065677966,2550,0.449,0.852,159,224,120
473,2012,Torii Hunter,LAA,140,584,0.065,0.344,0.594,0.696,0.839,0.459,0.603,0.126,0.281,0.992443325,2087,0.506,0.749,205,100,89
474,2017,Eugenio Suarez,CIN,156,632,0.133,0.242,0.584,0.655,0.864,0.434,0.593,0.096,0.277,0.80952381,2687,0.421,0.773,152,145,94
475,2021,Kris Bryant,- - -,144,586,0.106,0.303,0.541,0.768,0.863,0.395,0.608,0.126,0.26,0.894117647,2232,0.487,0.741,142,149,89
476,2019,Ramon Laureano,OAK,123,481,0.056,0.331,0.528,0.675,0.862,0.45,0.644,0.128,0.301,0.837270341,1954,0.486,0.737,114,125,80
477,2011,Jhonny Peralta,DET,146,576,0.069,0.28,0.648,0.702,0.878,0.463,0.573,0.092,0.241,1.083950617,2202,0.476,0.805,157,194,88
478,2013,Jhonny Peralta,DET,107,448,0.078,0.273,0.605,0.701,0.831,0.477,0.656,0.113,0.269,0.975077882,1742,0.477,0.763,122,112,79
479,2011,Carlos Pena,CHC,153,606,0.167,0.256,0.512,0.726,0.799,0.399,0.568,0.132,0.261,0.739910314,2501,0.444,0.699,123,156,51
480,2015,Jung Ho Kang,PIT,126,467,0.06,0.254,0.578,0.606,0.852,0.475,0.597,0.099,0.304,1.137323944,1881,0.422,0.765,161,89,73
481,2013,Chase Utley,PHI,131,531,0.085,0.286,0.673,0.593,0.931,0.434,0.544,0.07,0.283,1.298701299,2033,0.419,0.831,152,170,78
482,2014,Neil Walker,PIT,137,571,0.079,0.314,0.733,0.711,0.9,0.411,0.562,0.078,0.231,0.954954955,2176,0.477,0.836,163,165,96
483,2018,Jose Martinez,STL,152,590,0.083,0.295,0.686,0.638,0.881,0.41,0.588,0.086,0.271,1.10178117,2358,0.436,0.803,200,120,113
484,2019,Trea Turner,WSN,122,569,0.076,0.319,0.608,0.686,0.898,0.404,0.624,0.103,0.277,1.012376238,2233,0.467,0.78,193,134,82
485,2016,Jonathan Villar,MIL,156,679,0.116,0.241,0.575,0.662,0.831,0.449,0.573,0.106,0.279,0.785575049,2832,0.43,0.752,224,97,82
486,2018,Shin-Soo Choo,TEX,146,665,0.138,0.239,0.598,0.624,0.821,0.432,0.582,0.103,0.284,0.928735632,2770,0.406,0.746,203,113,88
487,2014,Michael Morse,SFG,131,482,0.064,0.376,0.64,0.745,0.836,0.409,0.612,0.13,0.254,0.829457364,1784,0.527,0.753,145,106,70
488,2011,Ryan Howard,PHI,152,644,0.116,0.312,0.537,0.716,0.781,0.379,0.52,0.146,0.274,0.862831858,2666,0.465,0.679,157,152,81
489,2011,Seth Smith,COL,147,533,0.086,0.318,0.671,0.712,0.852,0.42,0.559,0.103,0.253,0.953431373,2107,0.483,0.783,148,157,84
