,Season,Name,Team,G,PA,K%,O-Swing%,O-Contact%,Z-Swing%,Z-Contact%,Zone%,F-Strike%,SwStr%,CSW%,M-Swing%,Meat%,Edge%,Fair/Foul ratio
636,2019,Justin Turner,LAD,135,549,0.16,0.281,0.761,0.676,0.89,0.439,0.587,0.07,0.244,0.734,0.065,0.432,0.914153132
637,2019,Kolten Wong,STL,148,549,0.151,0.314,0.707,0.696,0.921,0.418,0.57,0.077,0.239,0.786,0.071,0.402,0.916067146
639,2019,Miguel Cabrera,DET,136,549,0.197,0.368,0.659,0.688,0.879,0.398,0.627,0.109,0.26,0.747,0.075,0.424,0.984848485
640,2017,Cody Bellinger,LAD,132,548,0.266,0.274,0.564,0.674,0.769,0.423,0.553,0.135,0.283,0.814,0.072,0.431,0.934659091
641,2016,Corey Dickerson,TBR,148,548,0.245,0.44,0.696,0.76,0.767,0.389,0.624,0.149,0.277,0.886,0.067,0.409,0.763636364
642,2019,Franmil Reyes,- - -,150,548,0.285,0.343,0.483,0.776,0.768,0.398,0.626,0.178,0.302,0.781,0.08,0.42,0.93495935
643,2019,Jose Altuve,HOU,124,548,0.15,0.327,0.724,0.681,0.869,0.399,0.653,0.09,0.25,0.709,0.068,0.408,1.185507246
644,2017,Orlando Arcia,MIL,153,548,0.182,0.387,0.614,0.737,0.857,0.438,0.641,0.13,0.263,0.793,0.074,0.433,1.002463054
645,2016,Adeiny Hechavarria,MIA,155,547,0.133,0.339,0.76,0.678,0.909,0.479,0.605,0.071,0.24,0.733,0.079,0.42,1.033412888
646,2021,C.J. Cron,COL,142,547,0.214,0.337,0.647,0.679,0.838,0.391,0.548,0.115,0.275,0.703,0.066,0.443,0.845971564
647,2021,Javier Baez,- - -,138,547,0.336,0.466,0.531,0.774,0.734,0.33,0.647,0.217,0.323,0.854,0.05,0.402,0.776155718
648,2019,Matt Olson,OAK,127,547,0.252,0.286,0.686,0.676,0.787,0.425,0.558,0.113,0.276,0.821,0.068,0.416,0.787528868
649,2019,Bryan Reynolds,PIT,134,546,0.222,0.311,0.59,0.742,0.871,0.389,0.606,0.115,0.249,0.649,0.072,0.439,0.898795181
650,2021,Fernando Tatis Jr.,SDP,130,546,0.28,0.333,0.478,0.806,0.802,0.381,0.597,0.168,0.27,0.905,0.069,0.398,0.8
651,2019,Orlando Arcia,MIL,152,546,0.2,0.333,0.665,0.669,0.849,0.424,0.603,0.107,0.281,0.764,0.079,0.403,1.007772021
652,2016,Salvador Perez,KCR,139,546,0.218,0.442,0.658,0.701,0.904,0.422,0.668,0.115,0.256,0.715,0.068,0.41,0.942992874
653,2019,Albert Pujols,LAA,131,545,0.125,0.329,0.735,0.608,0.905,0.416,0.563,0.075,0.272,0.674,0.071,0.427,1.263929619
654,2019,Dansby Swanson,ATL,127,545,0.228,0.279,0.592,0.704,0.825,0.422,0.563,0.118,0.281,0.713,0.076,0.417,0.926208651
655,2018,Joey Wendle,TBR,139,545,0.176,0.359,0.702,0.627,0.914,0.395,0.571,0.086,0.28,0.793,0.073,0.451,1.13960114
656,2016,JT Realmuto,MIA,137,545,0.183,0.325,0.707,0.664,0.891,0.46,0.633,0.085,0.255,0.746,0.068,0.429,0.942791762
657,2015,Mark Trumbo,- - -,142,545,0.242,0.368,0.585,0.722,0.809,0.42,0.607,0.146,0.279,0.806,0.073,0.412,0.966666667
658,2021,Pavin Smith,ARI,145,545,0.194,0.287,0.704,0.593,0.922,0.439,0.613,0.068,0.282,0.779,0.079,0.446,1.149560117
659,2021,Randal Grichuk,TOR,149,545,0.209,0.357,0.617,0.748,0.905,0.423,0.615,0.109,0.249,0.854,0.078,0.419,0.936915888
660,2016,Jonathan Lucroy,- - -,142,544,0.184,0.3,0.708,0.577,0.881,0.474,0.57,0.078,0.281,0.72,0.062,0.443,1.018134715
662,2018,Mallex Smith,TBR,141,544,0.18,0.296,0.64,0.726,0.829,0.449,0.612,0.115,0.258,0.76,0.086,0.419,0.939698492
663,2015,Marlon Byrd,- - -,135,544,0.267,0.439,0.553,0.832,0.83,0.421,0.704,0.172,0.265,0.794,0.063,0.428,0.748466258
664,2017,Matt Joyce,OAK,141,544,0.208,0.214,0.607,0.671,0.819,0.458,0.542,0.101,0.268,0.659,0.075,0.436,0.98102981
665,2018,Salvador Perez,KCR,129,544,0.199,0.484,0.664,0.713,0.901,0.374,0.671,0.128,0.252,0.754,0.072,0.4,0.916666667
666,2016,Troy Tulowitzki,TOR,131,544,0.186,0.284,0.721,0.635,0.858,0.458,0.594,0.084,0.268,0.737,0.081,0.427,1.091160221
667,2018,Willson Contreras,CHC,138,544,0.222,0.344,0.622,0.701,0.816,0.42,0.59,0.13,0.271,0.825,0.071,0.433,0.816901408
668,2016,Angel Pagan,SFG,129,543,0.122,0.247,0.811,0.598,0.939,0.452,0.578,0.042,0.26,0.644,0.072,0.431,1.264705882
669,2016,Howie Kendrick,LAD,146,543,0.177,0.305,0.65,0.688,0.889,0.459,0.637,0.092,0.251,0.772,0.078,0.406,0.95377129
670,2021,Hunter Dozier,KCR,144,543,0.284,0.341,0.457,0.714,0.87,0.396,0.621,0.148,0.302,0.797,0.069,0.413,0.926229508
671,2018,Joe Mauer,MIN,127,543,0.158,0.21,0.723,0.51,0.94,0.476,0.604,0.045,0.311,0.675,0.063,0.411,1.372013652
672,2021,Josh Donaldson,MIN,135,543,0.21,0.263,0.615,0.715,0.815,0.417,0.576,0.114,0.263,0.838,0.075,0.394,0.959016393
673,2017,Justin Turner,LAD,130,543,0.103,0.25,0.774,0.674,0.891,0.443,0.56,0.064,0.226,0.812,0.073,0.411,1.162393162
674,2017,Yadier Molina,STL,136,543,0.136,0.378,0.774,0.693,0.86,0.468,0.63,0.091,0.237,0.705,0.08,0.429,1.006928406
675,2016,Yoenis Cespedes,NYM,132,543,0.199,0.345,0.661,0.658,0.872,0.416,0.593,0.102,0.262,0.727,0.063,0.404,0.856818182
676,2017,Denard Span,SFG,129,542,0.127,0.264,0.792,0.63,0.939,0.472,0.565,0.047,0.247,0.734,0.073,0.431,1.140540541
677,2019,Jose Ramirez,CLE,129,542,0.137,0.264,0.768,0.642,0.923,0.421,0.566,0.056,0.243,0.659,0.068,0.422,1.075520833
678,2017,Josh Harrison,PIT,128,542,0.166,0.356,0.726,0.733,0.843,0.454,0.62,0.105,0.241,0.781,0.059,0.432,0.846652268
679,2018,Kevin Pillar,TOR,142,542,0.181,0.435,0.666,0.679,0.9,0.421,0.605,0.113,0.282,0.787,0.062,0.414,1.014563107
680,2016,Scooter Gennett,MIL,136,542,0.21,0.343,0.674,0.73,0.872,0.42,0.616,0.104,0.242,0.842,0.066,0.43,0.865168539
681,2017,Alex Gordon,KCR,148,541,0.233,0.273,0.576,0.704,0.875,0.465,0.591,0.103,0.251,0.773,0.074,0.433,0.760259179
682,2019,Corey Seager,LAD,134,541,0.181,0.307,0.572,0.795,0.869,0.419,0.582,0.12,0.225,0.833,0.064,0.42,1.125356125
683,2021,Elvis Andrus,OAK,146,541,0.15,0.346,0.679,0.675,0.916,0.429,0.621,0.088,0.262,0.707,0.072,0.415,1.024691358
684,2017,Jackie Bradley Jr,BOS,133,541,0.229,0.3,0.607,0.679,0.787,0.45,0.542,0.13,0.291,0.869,0.085,0.42,1.074850299
685,2021,Lourdes Gurriel Jr.,TOR,141,541,0.189,0.373,0.655,0.695,0.865,0.421,0.671,0.114,0.276,0.786,0.077,0.429,0.971084337
686,2021,Yandy Diaz,TBR,134,541,0.157,0.227,0.696,0.684,0.875,0.437,0.564,0.076,0.246,0.8,0.066,0.437,1.170731707
687,2017,Asdrubal Cabrera,NYM,135,540,0.154,0.284,0.706,0.7,0.889,0.442,0.585,0.081,0.226,0.841,0.076,0.432,0.995
