,Season,Name,Team,G,PA,H,H/PA,BABIP,LD%,GB%,FB%,IFFB%,SweetSpot%,Barrel%,HardHit%,,HR/FB,Barrel%*10,Pull%,Cent%,Oppo%
100,2017,Brett Gardner,NYY,151,682,157,0.230205279,0.3,0.223,0.445,0.332,0.077,0.354,0.029,0.31,,0.135,0.29,0.373,0.354,0.273
101,2016,Alcides Escobar,KCR,162,682,166,0.24340176,0.295,0.201,0.499,0.299,0.093,0.389,0.013,0.174,,0.043,0.13,0.414,0.336,0.25
102,2016,Mike Trout,LAA,159,681,173,0.254038179,0.371,0.221,0.412,0.367,0.026,0.376,0.134,0.4,,0.19,1.34,0.405,0.329,0.266
103,2017,Nolan Arenado,COL,159,680,187,0.275,0.32,0.211,0.34,0.449,0.093,0.38,0.079,0.376,,0.163,0.79,0.377,0.351,0.272
104,2018,Jed Lowrie,OAK,157,680,159,0.233823529,0.304,0.234,0.332,0.434,0.064,0.375,0.055,0.376,,0.113,0.55,0.423,0.325,0.253
105,2016,Miguel Cabrera,DET,158,679,188,0.276877761,0.336,0.227,0.417,0.355,0.047,0.369,0.149,0.5,,0.221,1.49,0.378,0.331,0.291
106,2017,Marcell Ozuna,MIA,159,679,191,0.281296024,0.355,0.193,0.471,0.335,0.082,0.333,0.085,0.454,,0.234,0.85,0.386,0.363,0.251
107,2019,Jorge Soler,KCR,162,679,156,0.229749632,0.294,0.195,0.393,0.412,0.088,0.345,0.163,0.495,,0.281,1.63,0.467,0.311,0.222
108,2021,Paul Goldschmidt,STL,158,679,177,0.260677467,0.331,0.235,0.362,0.403,0.1,0.364,0.136,0.502,,0.163,1.36,0.39,0.373,0.237
109,2019,Trey Mancini,BAL,154,679,175,0.257731959,0.326,0.222,0.459,0.319,0.054,0.301,0.099,0.427,,0.236,0.99,0.358,0.375,0.267
110,2016,Ian Kinsler,DET,153,679,178,0.262150221,0.314,0.239,0.316,0.445,0.085,0.31,0.036,0.308,,0.125,0.36,0.441,0.35,0.209
111,2016,Jonathan Villar,MIL,156,679,168,0.24742268,0.373,0.203,0.556,0.241,0.113,0.401,0.05,0.382,,0.196,0.5,0.323,0.417,0.259
112,2018,Carlos Santana,PHI,161,679,128,0.188512518,0.231,0.16,0.403,0.437,0.179,0.374,0.067,0.387,,0.116,0.67,0.48,0.299,0.221
113,2021,DJ LeMahieu,NYY,150,679,160,0.235640648,0.301,0.224,0.52,0.256,0.062,0.288,0.037,0.431,,0.077,0.37,0.248,0.394,0.358
114,2017,Aaron Judge,NYY,155,678,154,0.227138643,0.357,0.219,0.349,0.432,0.062,0.321,0.249,0.55,,0.356,2.49,0.414,0.308,0.278
115,2018,Nick Castellanos,DET,157,678,185,0.272861357,0.361,0.288,0.354,0.358,0.03,0.453,0.106,0.405,,0.136,1.06,0.449,0.303,0.248
116,2021,Jose Altuve,HOU,146,678,167,0.246312684,0.28,0.223,0.389,0.387,0.179,0.382,0.064,0.344,,0.158,0.64,0.544,0.313,0.143
117,2015,Todd Frazier,CIN,157,678,158,0.233038348,0.271,0.191,0.331,0.477,0.168,0.327,0.082,0.386,,0.151,0.82,0.461,0.329,0.21
