,Season,Name,Team,G,PA,H,BABIP,LD%,GB%,FB%,IFFB%,SweetSpot%,Barrel%,HardHit%,Pull%,Cent%,Oppo%,Spd,LDFB_EV
767,2017,Yonder Alonso,- - -,142,521,120,0.302,0.228,0.339,0.432,0.083,0.357,0.093,0.408,0.408,0.336,0.255,2.4,0.467
768,2018,Ben Zobrist,CHC,139,520,139,0.331,0.216,0.481,0.303,0.05,0.35,0.027,0.382,0.471,0.315,0.213,3.2,0.4585
769,2019,Brian Anderson,MIA,126,520,120,0.305,0.193,0.454,0.353,0.106,0.313,0.078,0.46,0.382,0.328,0.29,3.5,0.473
770,2015,Jose Reyes,- - -,116,519,132,0.301,0.2,0.441,0.359,0.215,0.281,0.002,0.186,0.422,0.357,0.22,5.6,0.43
771,2018,Manuel Margot,SDP,141,519,117,0.281,0.199,0.43,0.371,0.172,0.338,0.033,0.365,0.395,0.355,0.249,5.6,0.464
772,2017,Jose Peraza,CIN,143,518,126,0.293,0.216,0.471,0.313,0.132,0.325,0.014,0.2,0.323,0.392,0.285,5.8,0.4215
773,2019,Jurickson Profar,OAK,139,518,100,0.218,0.217,0.413,0.37,0.189,0.297,0.062,0.305,0.499,0.276,0.225,5.1,0.459
774,2016,Marwin Gonzalez,HOU,141,518,123,0.311,0.206,0.474,0.32,0.08,0.303,0.051,0.351,0.507,0.314,0.18,5.1,0.4705
775,2019,Tim Anderson,CHW,123,518,167,0.399,0.238,0.486,0.276,0.046,0.376,0.049,0.379,0.327,0.371,0.302,4.7,0.4535
776,2018,Yasmani Grandal,LAD,140,518,106,0.278,0.172,0.411,0.417,0.113,0.329,0.11,0.398,0.483,0.329,0.188,3.1,0.4725
777,2016,Danny Valencia,OAK,130,517,135,0.346,0.232,0.45,0.318,0.14,0.352,0.07,0.405,0.399,0.344,0.257,2.7,0.47
778,2015,David Peralta,ARI,149,517,144,0.368,0.213,0.521,0.266,0.063,0.354,0.069,0.431,0.384,0.401,0.215,5.6,0.478
779,2016,J.D. Martinez,DET,120,517,141,0.378,0.214,0.424,0.362,0.041,0.38,0.122,0.46,0.404,0.359,0.237,2.7,0.481
780,2016,Jose Bautista,TOR,116,517,99,0.255,0.188,0.395,0.417,0.178,0.306,0.08,0.457,0.528,0.315,0.157,2.5,0.482
781,2015,Aramis Ramirez,- - -,137,516,117,0.253,0.187,0.381,0.432,0.084,0.335,0.046,0.342,0.403,0.352,0.245,2,0.454
782,2021,Gleyber Torres,NYY,127,516,119,0.314,0.223,0.415,0.362,0.085,0.371,0.078,0.357,0.377,0.352,0.271,3.5,0.46
783,2021,Avisail Garcia,MIL,135,515,121,0.291,0.206,0.472,0.322,0.054,0.359,0.122,0.461,0.443,0.362,0.194,3.4,0.476
784,2018,Jonathan Villar,- - -,141,515,121,0.339,0.197,0.559,0.244,0.103,0.269,0.048,0.36,0.384,0.353,0.263,5.6,0.4595
785,2017,Marwin Gonzalez,HOU,134,515,138,0.343,0.199,0.439,0.362,0.134,0.294,0.061,0.366,0.418,0.335,0.247,3.2,0.4685
786,2015,Mitch Moreland,TEX,132,515,131,0.317,0.198,0.456,0.346,0.111,0.354,0.096,0.456,0.448,0.327,0.225,1.5,0.4835
787,2019,Asdrubal Cabrera,- - -,131,514,116,0.294,0.238,0.384,0.378,0.045,0.373,0.057,0.353,0.501,0.276,0.222,3.8,0.466
788,2017,Freddie Freeman,ATL,117,514,135,0.335,0.245,0.349,0.406,0,0.401,0.13,0.418,0.386,0.329,0.285,4.3,0.469
789,2019,Joc Pederson,LAD,149,514,112,0.249,0.174,0.418,0.409,0.158,0.314,0.1,0.428,0.49,0.331,0.179,3.7,0.4805
790,2019,Vladimir Guerrero Jr.,TOR,123,514,126,0.308,0.173,0.496,0.331,0.145,0.309,0.072,0.387,0.413,0.368,0.219,1.9,0.466
791,2016,Jose Iglesias,DET,137,513,119,0.276,0.203,0.514,0.283,0.137,0.29,0.007,0.206,0.382,0.311,0.307,3.6,0.4345
